City,Province,YCurrent_S1_CAPEX,YCurrent_S2_CAPEX,YCurrent_S3_CAPEX,Y2030_S1_CAPEX,Y2030_S2_CAPEX,Y2030_S3_CAPEX,Y2040_S1_CAPEX,Y2040_S2_CAPEX,Y2040_S3_CAPEX,Y2050_S1_CAPEX,Y2050_S2_CAPEX,Y2050_S3_CAPEX,YCurrent_S1_OPEX,YCurrent_S2_OPEX,YCurrent_S3_OPEX,Y2030_S1_OPEX,Y2030_S2_OPEX,Y2030_S3_OPEX,Y2040_S1_OPEX,Y2040_S2_OPEX,Y2040_S3_OPEX,Y2050_S1_OPEX,Y2050_S2_OPEX,Y2050_S3_OPEX
Anshan,Liaoning ,366.6298207,275.8117164,191.756567,307.5391186,233.4086116,164.6752145,281.6010772,214.7929753,152.7789121,257.0239892,197.145297,141.4924587,426.9592026,410.1284694,394.6257299,415.3559782,401.8020707,389.3079557,410.2627079,398.1466495,386.9719627,405.4366784,394.6812993,384.7557214
Anyang,Henan,468.2295528,348.7949115,238.4852982,387.8834515,291.152632,201.6836417,348.9363458,263.2184886,183.8545671,306.946455,233.1285368,164.6919878,493.2288766,459.199103,426.9611468,477.4518792,447.8802951,419.7346651,469.8041107,442.3950643,416.2336954,461.558852,436.4865127,412.4708749
Baotou ,Inner Mongolia,448.7699801,334.7604293,229.4328341,366.8951307,276.0936669,192.0658304,326.2217413,247.0402508,173.6518967,278.7542523,213.2807288,152.4094927,481.1708752,450.265604,421.0651472,465.0936884,438.7456256,413.7276521,457.1069418,433.0406111,410.1118378,447.7860857,426.4114918,405.9406167
Changzhi,Shanxi ,479.3362571,356.7419867,243.5327115,395.5843393,296.6667732,205.1851358,354.123177,266.947474,186.246767,304.29397,231.4996477,163.9350862,478.9151383,448.3886015,419.70493,462.4693648,436.5920554,412.174887,454.3279287,430.7562862,408.4560931,444.5433187,423.7956466,404.0749057
Dalian,Liaoning ,385.1244143,289.1505947,200.3652346,321.8104328,243.7110882,171.337262,293.9670168,223.7217259,158.5570856,265.9190803,203.6075597,145.7286652,430.5908555,412.7477308,396.3161532,418.1583355,403.8250954,390.616135,412.6909202,399.8999253,388.1065818,407.1833447,395.9502483,385.5875554
Datong,Shanxi ,452.7857745,337.6427657,231.2682616,369.4890506,277.9272688,193.1974586,328.4588646,248.5727198,174.549763,280.5493441,214.468606,153.0605555,473.7016072,444.6382221,417.2966465,457.3452169,432.9123111,409.8209514,449.2884087,427.1481653,406.1592349,439.880754,420.451381,401.9395508
Guangzhou,Guangdong ,523.4785387,388.3495575,263.6372522,429.0477147,320.6456344,220.4652871,380.2624643,285.7632132,198.3212303,321.6973969,244.1089277,172.1135662,462.8724599,436.0622171,411.2974235,444.329745,422.7676752,402.8200491,434.7501294,415.9180601,398.4717769,423.2501201,407.7387018,393.3255627
Handan,Hebei,476.8861004,355.0419873,242.5251127,394.4685813,295.9158007,204.7792177,354.4581009,267.2228417,186.472483,310.0458697,235.4397807,166.2776958,453.7234314,429.5218444,407.1517815,437.5396844,417.9116521,399.7398863,429.6831085,412.2774181,396.1451219,420.9621918,406.0364026,392.179614
Jinan ,Shandong ,485.5323199,361.224551,246.4425793,400.0656932,299.9249025,207.3245207,357.515748,269.4389146,187.9145795,306.7658138,233.3203504,165.161014,455.4212285,430.7358709,407.9210268,438.6387498,418.6988912,400.2396895,430.2835171,412.7125727,396.4282962,420.3181104,405.620225,391.960339
Jinzhong,Shanxi,514.1547399,381.9255746,259.8785075,404.0356086,303.4148669,210.2685917,355.7888045,268.9280085,188.3888801,301.9472438,230.4764511,164.0337486,485.7521982,453.333725,422.9146387,464.1288809,437.917131,413.1730894,454.6549962,431.1451898,408.8767247,444.0825086,423.5947287,404.0942793
Laiwu ,Shandong ,489.6428768,364.2008241,248.3796679,402.6919535,301.8482985,208.6047757,359.3255189,270.7848805,188.8341213,307.4597132,233.906862,165.6375161,456.2283896,431.3203006,408.3013993,439.15445,419.0765749,400.4910842,430.638889,412.9768706,396.6088602,420.4543665,405.7353941,392.0539064
Lijiang,Yunnan ,483.1944606,363.9573004,253.320591,379.9549335,289.884377,206.0155236,337.1772033,259.164153,186.3642725,289.5648808,225.0055926,164.5527137,520.8780169,480.7093745,442.2295421,500.6055989,466.1641969,432.9405796,492.2056377,460.1318832,429.081802,482.8563417,453.4244075,424.79882
Liupanshui,Guizhou ,515.5916629,383.6955407,261.8177782,402.5381142,302.8237951,210.4519669,354.6392103,268.5181286,188.6061333,301.1336752,230.2443782,164.27404,502.5290402,466.0522934,431.5427814,480.329512,450.1720791,421.4564393,470.923942,443.4357173,417.166727,460.4174374,435.9201708,412.3888054
Lu’an,Anhui ,564.7018778,418.4045302,283.400106,440.4531272,329.7296906,227.2915127,386.6838668,291.2299055,202.7974796,326.3215156,248.044588,175.3604713,476.4584379,446.0823313,417.9237365,452.0605869,428.6698784,406.9060877,441.5022964,421.1099471,402.0963671,429.6493672,412.6299508,396.7087553
Maoming,Guangdong ,499.3502878,371.0145111,252.530928,412.7156762,308.868868,212.8658742,369.3033984,277.7417926,193.0127733,317.7298547,240.9595222,169.7529762,458.1345655,432.6582563,409.1165529,441.1227377,420.4551546,401.327806,432.5981749,414.3429503,397.4293926,422.4710418,407.1202753,392.8620303
Rizhao,Shandong,461.9469078,344.3176914,235.6684782,382.0564665,287.0061368,199.0843195,343.8086915,259.577785,181.58521,302.112322,229.7161772,162.58599,450.7899275,427.4159901,405.8053926,435.1024049,416.1621243,398.6216193,427.5919591,410.7762122,395.1854426,419.404337,404.9124989,391.4546997
Tangshan,Hebei,468.7489569,349.1447716,238.681034,387.7721657,291.0544595,201.5946629,348.295303,262.7520951,183.5480529,301.9733143,229.7042255,162.6545646,452.1255979,428.3638498,406.3969469,436.2247565,416.9570648,399.1145577,428.4729633,411.3995291,395.5708722,419.3770411,404.910152,391.4681652
Tongilao,Inner Mongolia,337.3846683,254.7850357,178.2648701,283.7783145,216.3138741,153.6897637,260.4119791,199.5410199,142.9699098,238.6467413,183.8940536,132.9456332,459.298927,434.5613999,411.0176549,448.7726253,427.0070892,406.1920145,444.1843428,423.7135221,404.0870324,439.9104566,420.6410377,402.1186359
Urumqi,Xinjiang ,527.7248751,394.6544122,271.4663644,412.4503807,312.0401542,218.8190177,364.1202115,277.3636577,196.6740535,310.1529025,238.6723954,171.9995895,677.9275794,597.9662292,519.9454192,655.2919398,581.7438499,509.607431,645.8016853,574.9346709,505.2589805,635.2045054,567.3371405,500.41383
Wuhai,Inner Mongolia,408.4494597,305.8220965,210.9342078,340.2568792,256.9019471,179.7018119,307.6775638,233.5345836,164.7930187,272.5344022,208.3571472,148.7615807,473.253419,444.5831876,417.4327023,459.8629228,434.9770829,411.299817,453.4655524,430.3885985,408.3722824,446.5647376,425.4446828,405.224302
Xingtai,Hebei,469.5149269,349.6652119,238.9790892,388.9315121,291.8566605,202.0708172,349.8045641,263.794025,184.1615251,306.545381,232.8163154,164.4561065,452.276006,428.466045,406.4554739,436.4524091,417.1145874,399.2080568,428.7693263,411.6041256,395.6913354,420.2748256,405.5212512,391.8219213
Zhangjiagang,Jiangsu ,446.6056833,333.1032922,228.2293768,374.0600391,281.0557452,194.9946536,338.2715829,255.3835951,178.6078295,300.0684087,227.9794238,161.1171661,447.7774794,425.2138976,404.3446287,433.5322029,414.9936878,397.8185605,426.5046761,409.9526287,394.6007954,419.0029882,404.5714649,391.1662771
Zhangjiakou,Hebei,458.7370877,342.0136074,234.1945348,374.0940767,281.3516145,195.5454225,332.6532405,251.7357093,176.766157,284.520239,217.5169777,155.2429994,450.1596378,426.9635534,405.5159647,433.5388866,415.0517856,397.9267111,425.4014418,409.2363191,394.2391591,415.9499037,402.5170281,390.0128084
Zhanjiang,Guangdong ,452.844773,337.6006831,231.1317926,379.0804512,284.679695,197.3393157,342.6334339,258.5354987,180.6509982,303.7182324,230.622062,162.8385257,449.0026055,426.0970185,404.9145556,434.5180258,415.7052973,398.2789652,427.361182,410.5715458,395.001998,419.7196783,405.0903811,391.5042884
Jiuquan,Gansu,486.4437177,362.7762391,248.4501709,379.6691738,286.448343,200.0146361,335.0315186,254.4713886,179.6569261,285.3414815,218.9028009,157.0470891,546.2266374,499.010398,453.6284655,525.2600732,484.0224273,444.1175211,516.4948916,477.7433383,440.1200211,506.7376094,470.7589855,435.6802869
Fuzhou,Fujian,461.2384777,343.6561786,235.0435961,385.0895489,289.0278001,200.1645253,347.9158764,262.364512,183.147698,307.8062033,233.6061457,164.8114141,450.6508181,427.2860935,405.6826889,435.6979899,416.559104,398.8337317,428.398458,411.3234222,395.4922573,420.5224043,405.6763446,391.8916906
Xiangyang,Hubei,550.4975687,407.9123483,276.3621663,443.6590549,331.5260633,227.8808544,390.0509895,293.2985725,203.7181297,329.1299058,249.8597802,176.2769756,484.27446,451.9759722,421.844357,463.2953345,436.9765361,412.3244237,452.7686967,429.4700733,407.5797598,440.8060531,420.9403039,402.1913339
Xianning,Hubei,573.6032285,424.5567947,287.0748539,458.1835745,342.1508345,234.8967652,402.1088589,302.111127,209.5383248,338.8043322,256.9017501,180.9092043,488.8115555,455.2443247,423.9479319,466.147412,439.0628475,413.7020886,455.1364155,431.2005324,408.7226305,442.705752,422.3230859,403.100932
Deyang,Sichuan,587.7529641,440.078128,303.0157302,461.6553952,349.5285978,245.1183013,407.2687783,310.4232108,220.070249,345.8889618,266.3301796,191.8617276,526.5914643,484.5432082,444.5788419,501.8305739,466.7626356,433.209932,491.1510575,459.0837865,428.2914226,479.0983358,450.4255489,422.7523142
Jiaxing,Zhejiang,441.82236,329.7057448,226.1080395,369.2842017,277.6652941,192.8797236,333.9647241,252.3309779,176.7086856,296.604523,225.5330945,159.6086403,446.838212,424.5467452,403.9280766,432.5944054,414.3279289,397.4032666,425.6589686,409.3532078,394.2278739,418.3228094,404.0910964,390.8700586
Lishui,Zhejiang,586.350977,435.2989076,295.718329,456.409364,342.2195437,236.4680711,400.8487621,302.382209,211.055395,338.5068265,257.7205003,182.6059891,475.2182773,445.2813299,417.5969583,449.7025591,427.0039916,405.962403,438.7925155,419.1814151,400.972295,426.5508692,410.4115103,395.3858858
Tongchun,Sichuan,619.68311,459.5963127,311.72566,483.1169568,361.7682802,249.4390574,423.6777952,319.1464506,222.2498604,356.5869455,271.0695757,191.6186549,532.8613619,488.3758565,446.2891494,506.0448294,469.1660557,434.0583684,494.3731804,460.7967076,428.7194176,481.1990234,451.3561907,422.7045837
