City,Province,YCurrent_S1_Solar_Oversizing_Factor,YCurrent_S2_Solar_Oversizing_Factor,YCurrent_S3_Solar_Oversizing_Factor,Y2030_S1_Solar_Oversizing_Factor,Y2030_S2_Solar_Oversizing_Factor,Y2030_S3_Solar_Oversizing_Factor,Y2040_S1_Solar_Oversizing_Factor,Y2040_S2_Solar_Oversizing_Factor,Y2040_S3_Solar_Oversizing_Factor,Y2050_S1_Solar_Oversizing_Factor,Y2050_S2_Solar_Oversizing_Factor,Y2050_S3_Solar_Oversizing_Factor,YCurrent_S1_Wind_Oversizing_Factor,YCurrent_S2_Wind_Oversizing_Factor,YCurrent_S3_Wind_Oversizing_Factor,Y2030_S1_Wind_Oversizing_Factor,Y2030_S2_Wind_Oversizing_Factor,Y2030_S3_Wind_Oversizing_Factor,Y2040_S1_Wind_Oversizing_Factor,Y2040_S2_Wind_Oversizing_Factor,Y2040_S3_Wind_Oversizing_Factor,Y2050_S1_Wind_Oversizing_Factor,Y2050_S2_Wind_Oversizing_Factor,Y2050_S3_Wind_Oversizing_Factor,YCurrent_S1_Electrolyser_Oversizing_Factor,YCurrent_S2_Electrolyser_Oversizing_Factor,YCurrent_S3_Electrolyser_Oversizing_Factor,Y2030_S1_Electrolyser_Oversizing_Factor,Y2030_S2_Electrolyser_Oversizing_Factor,Y2030_S3_Electrolyser_Oversizing_Factor,Y2040_S1_Electrolyser_Oversizing_Factor,Y2040_S2_Electrolyser_Oversizing_Factor,Y2040_S3_Electrolyser_Oversizing_Factor,Y2050_S1_Electrolyser_Oversizing_Factor,Y2050_S2_Electrolyser_Oversizing_Factor,Y2050_S3_Electrolyser_Oversizing_Factor
Anshan,Liaoning ,5.421050384,5.421050384,5.421050384,5.421050384,5.421050384,5.421050384,5.421050384,5.421050384,5.421050384,5.421050384,5.421050384,5.421050384,2.644544269,2.644544269,2.644544269,2.644544269,2.644544269,2.644544269,2.644544269,2.644544269,2.644544269,2.644544269,2.644544269,2.644544269,2.097756097,2.09803641,2.095510659,2.19587156,2.1939402,2.189133492,2.204913288,2.204138179,2.20228447,2.101652949,2.102438388,2.106784084
Anyang,Henan,6.018186465,6.018186465,6.018186465,6.018186465,6.018186465,6.018186465,6.018186465,6.018186465,6.018186465,6.018186465,6.018186465,6.018186465,3.880883459,3.880883459,3.880883459,3.880883459,3.880883459,3.880883459,3.880883459,3.880883459,3.880883459,3.880883459,3.880883459,3.880883459,2.047656748,2.049178115,2.049550332,2.120956351,2.12225987,2.123471186,2.131368377,2.132208795,2.129414792,2.441309579,2.43282913,2.426039889
Baotou ,Inner Mongolia,4.879263298,4.879263298,4.879263298,4.879263298,4.879263298,4.879263298,4.879263298,4.879263298,4.879263298,4.879263298,4.879263298,4.879263298,3.81346248,3.81346248,3.81346248,3.81346248,3.81346248,3.81346248,3.81346248,3.81346248,3.81346248,3.81346248,3.81346248,3.81346248,1.022420083,1.022943627,1.023973132,1.0308441,1.031276567,1.032049799,1.045055696,1.043325692,1.041452322,1.078475745,1.071108063,1.064214683
Changzhi,Shanxi ,5.631434203,5.631434203,5.631434203,5.631434203,5.631434203,5.631434203,5.631434203,5.631434203,5.631434203,5.631434203,5.631434203,5.631434203,4.13847058,4.13847058,4.13847058,4.13847058,4.13847058,4.13847058,4.13847058,4.13847058,4.13847058,4.13847058,4.13847058,4.13847058,2.132304015,2.130957902,2.131474749,2.383057431,2.375313659,2.370795584,2.638137914,2.627586841,2.615614481,3.55598113,3.50162567,3.402721233
Dalian,Liaoning ,5.471259027,5.471259027,5.471259027,5.471259027,5.471259027,5.471259027,5.471259027,5.471259027,5.471259027,5.471259027,5.471259027,5.471259027,2.784458146,2.784458146,2.784458146,2.784458146,2.784458146,2.784458146,2.784458146,2.784458146,2.784458146,2.784458146,2.784458146,2.784458146,2.264268848,2.262402821,2.254299578,2.35708056,2.356163442,2.349319639,2.311830667,2.312387715,2.311439886,2.127231107,2.127558597,2.129827047
Datong,Shanxi ,4.936612988,4.936612988,4.936612988,4.936612988,4.936612988,4.936612988,4.936612988,4.936612988,4.936612988,4.936612988,4.936612988,4.936612988,3.721014002,3.721014002,3.721014002,3.721014002,3.721014002,3.721014002,3.721014002,3.721014002,3.721014002,3.721014002,3.721014002,3.721014002,2.210422876,2.211399341,2.212723774,2.794148996,2.766939328,2.761285467,3.163909314,3.125232825,3.075913091,3.440369466,3.41609849,3.363231291
Deyang,Sichuan,6.253198875,6.253198875,6.253198875,6.253198875,6.253198875,6.253198875,6.253198875,6.253198875,6.253198875,6.253198875,6.253198875,6.253198875,19.74872231,19.74872231,19.74872231,19.74872231,19.74872231,19.74872231,19.74872231,19.74872231,19.74872231,19.74872231,19.74872231,19.74872231,3.674557701,3.665994889,3.655334379,3.777931472,3.768092746,3.755914613,3.78288893,3.772479304,3.758833295,3.763405479,3.75308336,3.739541625
Fuzhou,Fujian,6.191841048,6.191841048,6.191841048,6.191841048,6.191841048,6.191841048,6.191841048,6.191841048,6.191841048,6.191841048,6.191841048,6.191841048,3.751040528,3.751040528,3.751040528,3.751040528,3.751040528,3.751040528,3.751040528,3.751040528,3.751040528,3.751040528,3.751040528,3.751040528,2.117054438,2.117752022,2.120486313,2.191752129,2.193036421,2.196646918,2.216046158,2.216877366,2.217628901,2.396934949,2.396639395,2.388583287
Guangzhou,Guangdong ,6.268385655,6.268385655,6.268385655,6.268385655,6.268385655,6.268385655,6.268385655,6.268385655,6.268385655,6.268385655,6.268385655,6.268385655,4.909656162,4.909656162,4.909656162,4.909656162,4.909656162,4.909656162,4.909656162,4.909656162,4.909656162,4.909656162,4.909656162,4.909656162,2.215656384,2.214028658,2.216697111,2.753761586,2.743477765,2.729923363,3.292179858,3.235729482,3.178451857,3.632154688,3.600077431,3.538256196
Handan,Hebei,5.987164503,5.987164503,5.987164503,5.987164503,5.987164503,5.987164503,5.987164503,5.987164503,5.987164503,5.987164503,5.987164503,5.987164503,4.020519335,4.020519335,4.020519335,4.020519335,4.020519335,4.020519335,4.020519335,4.020519335,4.020519335,4.020519335,4.020519335,4.020519335,2.079606487,2.079394113,2.082242224,2.164772142,2.165521832,2.166443559,2.215051996,2.214006412,2.203078163,2.785636817,2.762145104,2.722115353
Jiaxing,Zhejiang,6.320428404,6.320428404,6.320428404,6.320428404,6.320428404,6.320428404,6.320428404,6.320428404,6.320428404,6.320428404,6.320428404,6.320428404,3.462658626,3.462658626,3.462658626,3.462658626,3.462658626,3.462658626,3.462658626,3.462658626,3.462658626,3.462658626,3.462658626,3.462658626,2.031825039,2.032463868,2.036675885,2.091167453,2.091615035,2.094861238,2.070142456,2.070382755,2.073810291,2.091532295,2.092449882,2.092512382
Jinan ,Shandong ,5.760823245,5.760823245,5.760823245,5.760823245,5.760823245,5.760823245,5.760823245,5.760823245,5.760823245,5.760823245,5.760823245,5.760823245,4.17877127,4.17877127,4.17877127,4.17877127,4.17877127,4.17877127,4.17877127,4.17877127,4.17877127,4.17877127,4.17877127,4.17877127,2.161764401,2.162364777,2.163275574,2.430435755,2.430547222,2.410686802,2.741355777,2.733925701,2.715121034,3.475295546,3.419766074,3.339154533
Jinzhong,Shanxi,5.420909488,5.420909488,5.420909488,5.420909488,5.420909488,5.420909488,5.420909488,5.420909488,5.420909488,5.420909488,5.420909488,5.420909488,4.916807174,4.916807174,4.916807174,4.916807174,4.916807174,4.916807174,4.916807174,4.916807174,4.916807174,4.916807174,4.916807174,4.916807174,2.987818675,2.975691233,2.942288437,3.6539406,3.62486717,3.566228505,3.680383825,3.655090477,3.607764566,3.689677683,3.664228304,3.619220357
Jiuquan,Gansu,4.906218969,4.906218969,4.906218969,4.906218969,4.906218969,4.906218969,4.906218969,4.906218969,4.906218969,4.906218969,4.906218969,4.906218969,6.019212005,6.019212005,6.019212005,6.019212005,6.019212005,6.019212005,6.019212005,6.019212005,6.019212005,6.019212005,6.019212005,6.019212005,3.355212071,3.333667091,3.289057468,3.493550373,3.47410745,3.437618767,3.500623602,3.48491085,3.443364507,3.483368105,3.469859391,3.436085305
Laiwu ,Shandong ,5.764204553,5.764204553,5.764204553,5.764204553,5.764204553,5.764204553,5.764204553,5.764204553,5.764204553,5.764204553,5.764204553,5.764204553,4.232446339,4.232446339,4.232446339,4.232446339,4.232446339,4.232446339,4.232446339,4.232446339,4.232446339,4.232446339,4.232446339,4.232446339,2.201590991,2.199553526,2.200560537,2.548682177,2.529186048,2.522818708,2.842989218,2.833337337,2.800453725,3.529184998,3.483899013,3.382621322
Lijiang,Yunnan ,4.623547686,4.623547686,4.623547686,4.623547686,4.623547686,4.623547686,4.623547686,4.623547686,4.623547686,4.623547686,4.623547686,4.623547686,9.326302409,9.326302409,9.326302409,9.326302409,9.326302409,9.326302409,9.326302409,9.326302409,9.326302409,9.326302409,9.326302409,9.326302409,3.319060701,3.313478518,3.302862349,3.404589258,3.396367012,3.384690298,3.40715904,3.400686033,3.387095639,3.393934601,3.385530225,3.37307113
Lishui,Zhejiang,6.312539904,6.312539904,6.312539904,6.312539904,6.312539904,6.312539904,6.312539904,6.312539904,6.312539904,6.312539904,6.312539904,6.312539904,8.996176625,8.996176625,8.996176625,8.996176625,8.996176625,8.996176625,8.996176625,8.996176625,8.996176625,8.996176625,8.996176625,8.996176625,3.866136313,3.853716647,3.827641587,4.002845022,3.992420729,3.967212484,4.006318332,3.996056601,3.968747247,3.987178059,3.97122839,3.9474259
Liupanshui,Guizhou ,5.377677482,5.377677482,5.377677482,5.377677482,5.377677482,5.377677482,5.377677482,5.377677482,5.377677482,5.377677482,5.377677482,5.377677482,5.768432975,5.768432975,5.768432975,5.768432975,5.768432975,5.768432975,5.768432975,5.768432975,5.768432975,5.768432975,5.768432975,5.768432975,3.463247852,3.443209842,3.40653459,3.578117226,3.559703439,3.532856489,3.58629829,3.570372789,3.541060718,3.570090577,3.554808247,3.529430986
Lu’an,Anhui ,6.216081201,6.216081201,6.216081201,6.216081201,6.216081201,6.216081201,6.216081201,6.216081201,6.216081201,6.216081201,6.216081201,6.216081201,6.215172684,6.215172684,6.215172684,6.215172684,6.215172684,6.215172684,6.215172684,6.215172684,6.215172684,6.215172684,6.215172684,6.215172684,3.548391986,3.492772883,3.430642919,3.825281194,3.803497518,3.762228396,3.837085908,3.818880876,3.782568221,3.82061159,3.802008409,3.778626912
Maoming,Guangdong ,6.199584147,6.199584147,6.199584147,6.199584147,6.199584147,6.199584147,6.199584147,6.199584147,6.199584147,6.199584147,6.199584147,6.199584147,4.439063966,4.439063966,4.439063966,4.439063966,4.439063966,4.439063966,4.439063966,4.439063966,4.439063966,4.439063966,4.439063966,4.439063966,2.106083499,2.106772244,2.108212849,2.338849943,2.339722126,2.340999337,2.560757763,2.559286439,2.550437491,3.464712663,3.398585442,3.293885048
Rizhao,Shandong,5.833194606,5.833194606,5.833194606,5.833194606,5.833194606,5.833194606,5.833194606,5.833194606,5.833194606,5.833194606,5.833194606,5.833194606,3.711430358,3.711430358,3.711430358,3.711430358,3.711430358,3.711430358,3.711430358,3.711430358,3.711430358,3.711430358,3.711430358,3.711430358,2.14143815,2.143365371,2.144862616,2.239761903,2.240320953,2.242427478,2.24371397,2.245548628,2.248459345,2.586375095,2.559117972,2.52878107
Tangshan,Hebei,5.641243933,5.641243933,5.641243933,5.641243933,5.641243933,5.641243933,5.641243933,5.641243933,5.641243933,5.641243933,5.641243933,5.641243933,3.95884071,3.95884071,3.95884071,3.95884071,3.95884071,3.95884071,3.95884071,3.95884071,3.95884071,3.95884071,3.95884071,3.95884071,2.103586001,2.103649485,2.104282666,2.234351719,2.234014576,2.234366302,2.403532891,2.392867848,2.388952622,3.336332436,3.275452492,3.171757982
Tongchun,Sichuan,6.943316068,6.943316068,6.943316068,6.943316068,6.943316068,6.943316068,6.943316068,6.943316068,6.943316068,6.943316068,6.943316068,6.943316068,10.01427835,10.01427835,10.01427835,10.01427835,10.01427835,10.01427835,10.01427835,10.01427835,10.01427835,10.01427835,10.01427835,10.01427835,3.870957845,3.85558415,3.831215964,4.032480347,4.017451128,3.993649817,4.036575051,4.021674982,3.995372491,4.018221629,4.006847395,3.979646388
Tongilao,Inner Mongolia,5.228059161,5.228059161,5.228059161,5.228059161,5.228059161,5.228059161,5.228059161,5.228059161,5.228059161,5.228059161,5.228059161,5.228059161,2.362139753,2.362139753,2.362139753,2.362139753,2.362139753,2.362139753,2.362139753,2.362139753,2.362139753,2.362139753,2.362139753,2.362139753,1.934058883,1.931947072,1.929025238,2.001826839,2.000931605,1.998643304,2.009647845,2.009236584,2.006956115,1.963448082,1.962395393,1.96381652
Urumqi,Xinjiang ,5.359483042,5.359483042,5.359483042,5.359483042,5.359483042,5.359483042,5.359483042,5.359483042,5.359483042,5.359483042,5.359483042,5.359483042,9.852959206,9.852959206,9.852959206,9.852959206,9.852959206,9.852959206,9.852959206,9.852959206,9.852959206,9.852959206,9.852959206,9.852959206,3.607003047,3.592512596,3.572152803,3.705712545,3.694156387,3.669042386,3.709621033,3.696445207,3.670854631,3.689967408,3.675157785,3.651097078
Wuhai,Inner Mongolia,4.914330209,4.914330209,4.914330209,4.914330209,4.914330209,4.914330209,4.914330209,4.914330209,4.914330209,4.914330209,4.914330209,4.914330209,3.21576813,3.21576813,3.21576813,3.21576813,3.21576813,3.21576813,3.21576813,3.21576813,3.21576813,3.21576813,3.21576813,3.21576813,1.879366974,1.87990762,1.881338492,1.971152642,1.970772641,1.971538082,1.992062288,1.991794638,1.993825163,2.377880695,2.36061035,2.342208748
Xiangyang,Hubei,6.393679891,6.393679891,6.393679891,6.393679891,6.393679891,6.393679891,6.393679891,6.393679891,6.393679891,6.393679891,6.393679891,6.393679891,5.455296152,5.455296152,5.455296152,5.455296152,5.455296152,5.455296152,5.455296152,5.455296152,5.455296152,5.455296152,5.455296152,5.455296152,2.47360722,2.472310318,2.469160705,3.516124466,3.462013062,3.378774722,3.71111849,3.658798176,3.584818326,3.777316424,3.744756108,3.680977625
Xianning,Hubei,6.641878408,6.641878408,6.641878408,6.641878408,6.641878408,6.641878408,6.641878408,6.641878408,6.641878408,6.641878408,6.641878408,6.641878408,5.826036931,5.826036931,5.826036931,5.826036931,5.826036931,5.826036931,5.826036931,5.826036931,5.826036931,5.826036931,5.826036931,5.826036931,2.645076861,2.642424764,2.641114582,3.796109396,3.750648066,3.675181274,3.884084127,3.848673662,3.775974233,3.911775476,3.882344134,3.836431088
Xingtai,Hebei,5.925476981,5.925476981,5.925476981,5.925476981,5.925476981,5.925476981,5.925476981,5.925476981,5.925476981,5.925476981,5.925476981,5.925476981,3.907046197,3.907046197,3.907046197,3.907046197,3.907046197,3.907046197,3.907046197,3.907046197,3.907046197,3.907046197,3.907046197,3.907046197,2.052118387,2.05202009,2.053538498,2.142255503,2.142265062,2.146414464,2.174531645,2.1739484,2.173377866,2.725737228,2.70033921,2.670909964
Zhangjiagang,Jiangsu ,6.27447385,6.27447385,6.27447385,6.27447385,6.27447385,6.27447385,6.27447385,6.27447385,6.27447385,6.27447385,6.27447385,6.27447385,3.558653805,3.558653805,3.558653805,3.558653805,3.558653805,3.558653805,3.558653805,3.558653805,3.558653805,3.558653805,3.558653805,3.558653805,2.009005134,2.009638594,2.010420391,2.082323097,2.08303229,2.083573457,2.086207706,2.087285484,2.087293796,2.131923963,2.132739353,2.131186694
Zhangjiakou,Hebei,5.023416807,5.023416807,5.023416807,5.023416807,5.023416807,5.023416807,5.023416807,5.023416807,5.023416807,5.023416807,5.023416807,5.023416807,3.72655588,3.72655588,3.72655588,3.72655588,3.72655588,3.72655588,3.72655588,3.72655588,3.72655588,3.72655588,3.72655588,3.72655588,2.278103186,2.279102154,2.280319635,2.811350202,2.803556869,2.792213207,3.177124424,3.136468539,3.068556048,3.434889376,3.396492914,3.332365844
Zhanjiang,Guangdong ,6.227154659,6.227154659,6.227154659,6.227154659,6.227154659,6.227154659,6.227154659,6.227154659,6.227154659,6.227154659,6.227154659,6.227154659,3.708481203,3.708481203,3.708481203,3.708481203,3.708481203,3.708481203,3.708481203,3.708481203,3.708481203,3.708481203,3.708481203,3.708481203,1.983463862,1.98407885,1.985309862,2.07451827,2.075219751,2.076771982,2.079034121,2.082027784,2.083506759,2.192914038,2.19342025,2.192886902
