City,Mean hourly solar CF,Median hourly solar CF,CoV hourly solar CF,mean monthly solar CF,median monthly solar CF,CoV monthly solar CF,Mean hourly wind CF,Median hourly wind CF,CoV hourly wind CF,mean monthly wind CF,median monthly wind CF,CoV monthly wind CF
Lijiang,0.216284132,0.003,1.318838,157.9529941,163.7925456,0.143491276,0.10722363,0.034,1.514885681,78.97059622,63.97285286,0.706843474
Baotou ,0.204948973,0.002,1.356886559,149.5318256,148.967959,0.109312896,0.262228881,0.177,0.971407356,191.2112027,185.5681586,0.231131002
Jiuquan,0.203822945,0.002,1.348992004,148.8315957,149.8694345,0.065835404,0.166134703,0.09,1.175920087,121.3474774,116.2529906,0.216623961
Wuhai,0.20348653,0.003,1.358557861,148.4961634,150.8299856,0.119604894,0.310967694,0.243,0.869341692,226.9611754,236.5059816,0.163655022
Datong,0.202568037,0.002,1.362823939,147.8250218,148.9922039,0.111448139,0.26874395,0.182,0.969222835,195.7421013,184.6124866,0.283815789
Zhangjiakou,0.199067694,0.002,1.368806261,145.2935872,145.7073698,0.103773021,0.268344292,0.1585,1.029929532,195.4185226,189.5358095,0.313614192
Tongilao,0.191275571,0.002,1.376170385,139.7204176,139.518018,0.146294417,0.423344977,0.4,0.718556158,308.752739,302.5093204,0.241870596
Urumqi,0.18658516,0.001,1.385453197,136.1491564,138.9438403,0.144291058,0.101492352,0.037,1.563642312,73.89007314,85.79665714,0.341134082
Liupanshui,0.185953881,0.002,1.367603008,135.9326535,135.5101747,0.116083933,0.173357306,0.096,1.214564723,127.5565528,116.4317061,0.418803806
Jinzhong,0.18447089,0.002,1.398530831,134.5272537,138.7236974,0.135337238,0.203384018,0.116,1.1210771,148.2931464,126.904273,0.275264433
Anshan,0.184466096,0.002,1.387532208,134.6581455,132.6762688,0.143661374,0.378136986,0.318,0.768352789,275.7709018,256.8569758,0.26483593
Dalian,0.182773288,0.002,1.386756141,133.3272832,135.3331694,0.158564656,0.359136301,0.281,0.843529321,262.0103823,275.3920094,0.285428886
Changzhi,0.177574658,0.002,1.402537437,129.500029,133.961807,0.133611941,0.24163516,0.164,0.99639018,176.0419231,150.9412366,0.318233115
Tangshan,0.177265868,0.001,1.392462654,129.3248303,131.1661351,0.14450853,0.252599201,0.175,0.985345772,184.1488552,172.9231653,0.296325816
Jinan ,0.173586301,0.001,1.392860047,126.6122959,133.5852126,0.142489294,0.239304795,0.153,1.045935877,174.41074,170.3747484,0.307439049
Laiwu ,0.173484475,0.001,1.39438651,126.5398405,133.2433382,0.141000363,0.236269977,0.149,1.050366944,172.2112089,166.1067301,0.301902747
Rizhao,0.171432648,0.001,1.396528807,125.0382532,132.2642344,0.157442409,0.2694379,0.177,1.001125935,196.4681898,180.0977547,0.243698219
Xingtai,0.168762785,0.001,1.39894463,123.0657727,127.0591819,0.17591461,0.255947831,0.157,1.026366964,186.3768739,170.7986583,0.308702424
Handan,0.167023973,0.001,1.404216032,121.785483,127.6695103,0.168150194,0.248724087,0.143,1.057359562,181.1597077,170.4880822,0.300354897
Anyang,0.166163014,0.001,1.402409363,121.1807231,127.5817588,0.159506649,0.257673288,0.162,1.022794401,187.7218517,180.6160062,0.300637297
Fuzhou,0.161502854,0.001,1.391720358,117.7633356,115.0803186,0.114948895,0.266592694,0.2135,0.856036769,194.2802286,195.6668317,0.281007347
Maoming,0.161301142,0.002,1.369584988,117.839507,120.2616129,0.149623213,0.225272717,0.173,0.899739264,164.6936861,161.7290143,0.175744538
Lu’an,0.160873059,0.001,1.41298065,117.2405272,123.8686615,0.16604351,0.160896575,0.098,1.146941552,117.4838284,113.9443329,0.161054456
Zhanjiang,0.160586986,0.001,1.377278194,117.3738143,122.0655175,0.173236218,0.269652169,0.226,0.809149399,197.0545829,202.559481,0.163161716
Deyang,0.159918151,0.001,1.389170275,116.771537,120.0923589,0.128404755,0.050636187,0.019,1.759457262,36.97791689,36.65042718,0.344852293
Guangzhou,0.159530708,0.001,1.376487725,116.4516325,112.442795,0.13367492,0.203680251,0.151,0.98086893,148.7614832,146.8851285,0.229708158
Zhangjiagang,0.159375913,0.001,1.420996425,116.1871809,119.596371,0.153717105,0.281005137,0.234,0.826776189,205.2364807,209.1979839,0.123740051
Lishui,0.15841484,0.001,1.434637162,115.4130449,116.2288862,0.149324976,0.111158333,0.058,1.392014404,81.07497524,68.80288325,0.314227421
Jiaxing,0.158217123,0.001,1.426565638,115.2929209,119.8027084,0.159563336,0.288795434,0.238,0.85032062,211.0081353,215.2352843,0.114351404
Xiangyang,0.156404452,0.001,1.405281627,114.0833392,125.4804819,0.152949852,0.183308105,0.107,1.132017996,133.8487441,122.8170054,0.210291203
Xianning,0.150559817,0.001,1.4265554,109.6988414,111.4929621,0.190491441,0.171643265,0.092,1.194663529,125.4865442,130.3374104,0.233722245
Tongchun,0.144023402,0.001,1.426614465,105.1324821,112.6821066,0.204414913,0.09985742,0.041,1.502477311,73.16271359,75.53725694,0.311384547
