Rank,Company,Country,Production
1,China Baowu Group,China,130.09
2,ArcelorMittal,Luxembourg,65
3,Ansteel Group,China,59.55
4,Nippon Steel Corporation,Japan,43.64
5,HBIS Group,China,42.28
6,Shagang Group,China,40.22
7,Jianlong Group,China,39.37
8,POSCO Holdings,South Korea,37.79
9,Shougang Group,China,31.57
10,Tata Steel Group,India,31.02
11,Delong Steel,China,29.33
12,JSW Steel Limited,India,26.95
13,Hunan Steel Group,China,24.9
14,JFE Steel Corporation,Japan,23.53
15,Jingye Group,China,22.72
16,Nucor Corporation,United States,20.66
17,Shandong Steel Group,China,19.45
18,Liuzhou Steel,China,19.22
19,Fangda Steel,China,19.1
20,SAIL,India,19.1
21,Hyundai Steel,South Korea,18.36
22,Rizhao Steel,China,18.3
23,Cleveland-Cliffs,United States,16.4
24,CITIC Pacific,China,16.15
25,Tsingshan Holding,China,16
26,Baotou Steel,China,14.99
27,Jinan Iron and Steel Group Co.,China,14.3
28,Techint Group,Argentina/Italy,14.29
29,U. S. Steel,United States,14.18
30,NLMK,Russia,13.6
31,Sinogiant Group,China,13.04
32,Shenglong Metallurgical,China,12.79
33,Gerdau S.A.,Brazil,12.78
34,China Steel Corporation,Taiwan,12.65
35,Zenith Steel,China,12.61
36,Anyang Steel,China,12.5
37,Sanming Steel,China,11.41
38,Nanjing Steel,China,11.35
39,MMK,Russia,11.2
40,Shaanxi Steel,China,11.02
41,Severstal,Russia,10.38
42,thyssenkrupp,Germany,10.26
43,"Steel Dynamics, Inc.",United States,10.2
44,Mobarakeh Steel Company,Iran,10.19
45,Puyang Steel,China,9.38
46,Tosyali Holding,Turkey,9.12
47,Donghai Special Steel,China,9
48,Jiuquan Steel,China,8.79
49,Hoa Phat Steel,Vietnam,8.71
50,Erdemir Group,Turkey,8.54
