City,Province,YCurrent_S1,YCurrent_S2,YCurrent_S3,Y2030_S1,Y2030_S2,Y2030_S3,Y2040_S1,Y2040_S2,Y2040_S3,Y2050_S1,Y2050_S2,Y2050_S3
Anshan,Liaoning ,97.76819792,97.76538726,97.77436988,97.7823841,97.79831397,97.7911481,97.87730712,97.85322919,97.80187622,97.98123269,97.93969679,97.86562052
Anyang,Henan,97.10070044,97.05188229,96.96210458,96.99626195,96.95109232,96.85508813,96.91095913,96.85686398,96.76416135,96.51930424,96.46703996,96.35401325
Baotou ,Inner Mongolia,97.80715543,97.75709764,97.6588124,97.00787925,96.96719887,96.89454917,95.68867991,95.84734739,96.01975807,92.72345758,93.36126152,93.96600289
Changzhi,Shanxi ,97.30869625,97.27179072,97.19137519,97.11440043,97.07726073,97.00179836,96.83909583,96.79798261,96.70958156,93.8158207,94.20097101,94.66843915
Dalian,Liaoning ,97.10639028,97.10790409,97.11797482,97.20207017,97.17269692,97.11476769,97.32350867,97.27486958,97.18836977,97.19333033,97.14932818,97.05482558
Datong,Shanxi ,97.75775494,97.72022969,97.65154935,97.20777832,97.19609555,97.11910422,96.38720105,96.45084555,96.47362331,93.76094035,94.14701586,94.69106923
Deyang,Sichuan,60.8876302,64.29824204,67.7463013,61.13611779,64.66644889,67.87051816,61.41359167,64.84965848,67.99765521,61.64390512,64.93561959,68.12676511
Fuzhou,Fujian,98.26917566,98.24312254,98.18295164,98.18655337,98.15160511,98.08896177,98.09612874,98.05955927,97.99520749,97.86935975,97.8292854,97.75517733
Guangzhou,Guangdong ,98.10637871,98.05915093,97.96427329,97.5648353,97.51904489,97.42476559,96.35636263,96.4782141,96.50477514,92.68734064,93.29565042,94.08048978
Handan,Hebei,96.79158025,96.73241322,96.62109004,96.66098952,96.60517542,96.48668188,96.52739877,96.46595002,96.35384261,95.7045993,95.66353482,95.58143896
Jiaxing,Zhejiang,98.43757604,98.40936105,98.35085989,98.35625351,98.32852272,98.27146367,98.27762001,98.24900475,98.19498179,98.16702247,98.1383882,98.07322994
Jinan ,Shandong ,96.98276446,96.93488843,96.84604983,96.7216029,96.67140935,96.59064587,96.29168019,96.24527827,96.16117488,93.4314051,93.79542828,94.16477695
Jinzhong,Shanxi,95.48444035,95.4432746,95.37344805,90.70981917,91.40454374,92.22806013,89.65453476,90.49935004,91.38271187,88.04992405,89.09524232,90.2899723
Jiuquan,Gansu,88.76375932,89.62507412,90.62915551,86.43461525,87.58392056,88.92760753,86.1102942,87.07699161,88.64014511,85.32036843,86.51275753,88.00176882
Laiwu ,Shandong ,96.73533474,96.68474801,96.58552972,96.3725051,96.32803409,96.21950963,95.86152369,95.80808201,95.73358738,92.55146403,93.03179263,93.63710841
Lijiang,Yunnan ,66.45300174,68.54717381,71.09628151,66.43323378,68.52838629,71.06570206,66.49280422,68.60644247,71.29887379,66.47608163,68.59054271,71.1582084
Lishui,Zhejiang,82.63843097,84.07569817,85.90543547,81.51766892,83.05689451,84.9360125,81.23790555,82.90151413,84.77148342,80.83244534,82.45037033,84.3041406
Liupanshui,Guizhou ,88.97558734,89.73636895,90.68128149,86.84826557,88.01698856,89.19457087,86.28900339,87.65236609,88.82900547,85.50254281,86.82614579,88.23174085
Lu’an,Anhui ,93.46714729,93.85284763,94.11400863,89.31350864,90.13347156,91.06690015,88.67175364,89.48742653,90.49894962,87.67026573,88.66217607,89.66580502
Maoming,Guangdong ,98.25338045,98.21638816,98.14979214,98.06793865,98.02813187,97.94545537,97.85076461,97.80914119,97.7319699,95.53283741,95.88140829,96.24675134
Rizhao,Shandong,96.80229018,96.74794685,96.64268982,96.66156276,96.60794352,96.49601292,96.53962016,96.47769128,96.35823685,95.96286619,95.92771667,95.8248774
Tangshan,Hebei,97.30428163,97.26461644,97.17803122,97.17032471,97.12824192,97.04324889,96.96644633,96.92236566,96.83194996,95.05000704,95.22327765,95.42380084
Tongchun,Sichuan,79.76710838,81.26413533,82.89543197,78.66915855,80.15845727,81.91566201,78.54686325,79.94096769,81.78870756,78.06257468,79.62571615,81.33215069
Tongilao,Inner Mongolia,98.12096923,98.20479057,98.24819651,98.20028196,98.25538066,98.2454215,98.28577449,98.30698507,98.29686,98.56892932,98.54043686,98.47764758
Urumqi,Xinjiang ,73.10713203,74.9559643,77.01688843,72.62257831,74.31995522,76.50957357,72.61076202,74.30848688,76.49831146,72.42002121,74.19533875,76.2489091
Wuhai,Inner Mongolia,97.7573505,97.72015133,97.65174401,97.66287341,97.62451627,97.55602661,97.57931221,97.54107407,97.45915147,97.1835607,97.15436069,97.07995238
Xiangyang,Hubei,96.45143063,96.38044064,96.25159031,93.7343738,93.96969163,94.21592785,91.50782646,92.15050925,92.72826869,89.08189661,89.96899504,91.02864376
Xianning,Hubei,95.81839271,95.75406889,95.63573238,91.82487432,92.27809522,92.78073413,90.06879649,90.77959148,91.63756622,88.27974119,89.2371957,90.04530699
Xingtai,Hebei,97.63343991,97.58582231,97.48345671,97.51171636,97.45953141,97.3604292,97.39841937,97.34425704,97.24884494,96.74973332,96.72314281,96.64517213
Zhangjiagang,Jiangsu ,98.76865528,98.75236146,98.71728774,98.7193907,98.69922312,98.66135455,98.66167815,98.63893816,98.59696424,98.5685577,98.54435365,98.49484401
Zhangjiakou,Hebei,96.79039681,96.73848698,96.64135767,96.08799542,96.04678705,95.94838255,94.91179195,95.00937607,95.10924453,91.94429885,92.54559899,93.15566509
Zhanjiang,Guangdong ,98.58399595,98.56161141,98.5103396,98.52494561,98.49830316,98.44789113,98.46644748,98.43627866,98.38168632,98.34489316,98.31664396,98.25365658
